code,municipality,registered voters,total votes,valid votes,Křesť.demokr.unie-Čs.str.lid.,Radostné Česko,REALISTÉ,TOP 09,Dělnic.str.sociální spravedl.,Česká strana národně sociální,Svob.a př.dem.-T.Okamura (SPD),ANO 2011,Referendum o Evropské unii,Blok proti islam.-Obran.domova,Dobrá volba 2016,Strana Práv Občanů,Občanská demokratická aliance,Občanská demokratická strana,SPR-Republ.str.Čsl. M.Sládka,CESTA ODPOVĚDNÉ SPOLEČNOSTI,SPORTOVCI,"ROZUMNÍ-stop migraci,diktát.EU",STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Unie H.A.V.E.L.,Řád národa - Vlastenecká unie,Strana svobodných občanů
529303,Benešov,13104,8476,8437,314,3,58,414,16,5,682,2577,6,6,3,10,11,1052,21,2,17,35,802,597,109,948,624,3,10,112
532568,Bernartice,191,148,148,37,0,3,3,0,0,20,39,0,0,0,0,0,4,0,0,0,4,6,7,1,7,17,0,0,0
530743,Bílkovice,170,121,118,6,0,0,2,0,0,9,47,0,0,1,0,0,7,0,0,0,2,8,18,0,3,15,0,0,0
532380,Blažejovice,96,80,77,6,0,0,0,0,0,8,29,0,0,0,0,0,6,0,0,0,0,3,11,0,5,5,1,0,3
532096,Borovnice,73,54,53,5,0,0,1,0,0,1,29,0,0,0,0,0,2,0,0,0,0,4,4,1,3,2,0,0,1
532924,Bukovany,598,393,393,8,0,1,11,4,0,30,127,1,0,0,0,0,50,4,0,1,0,53,20,8,49,20,0,0,6
529451,Bystřice,3490,2205,2200,72,0,9,96,4,0,211,826,1,1,1,5,1,204,1,2,5,12,158,136,25,223,187,3,6,11
532690,Ctiboř,106,83,83,11,0,0,2,0,0,5,35,0,0,0,0,0,3,0,0,0,0,4,4,2,11,5,0,0,1
529478,Čakov,93,71,71,6,0,0,8,0,0,10,15,0,0,0,0,0,7,0,0,0,0,8,3,0,6,6,0,0,2
529486,Čechtice,1140,750,744,81,2,8,35,2,1,44,226,0,0,0,4,0,70,3,1,2,6,50,75,5,58,54,1,1,15
529516,Čerčany,2195,1451,1443,52,1,12,107,1,1,98,424,1,0,1,3,1,200,9,0,3,11,126,66,22,191,97,0,1,15
529532,Červený Újezd,258,187,187,30,0,4,3,0,0,18,53,0,0,0,0,2,13,0,0,0,2,13,15,3,23,5,0,0,3
529541,Český Šternberk,129,82,82,3,0,0,8,0,0,17,25,0,0,0,0,0,9,0,0,0,0,6,3,1,6,3,0,0,1
529567,Čtyřkoly,539,403,400,11,1,4,39,0,0,38,91,0,2,0,3,0,72,1,0,0,2,43,15,1,46,20,0,0,11
532746,Děkanovice,49,40,40,11,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0
529621,Divišov,1305,830,816,49,1,4,39,0,0,79,256,1,2,0,3,1,52,2,0,3,7,86,78,3,76,60,0,0,14
529648,Dolní Kralovice,727,445,445,30,0,0,9,0,0,26,150,1,0,0,1,0,24,1,0,2,2,24,66,8,47,45,0,0,9
532151,Drahňovice,70,58,57,5,0,1,3,0,0,9,18,0,0,0,0,0,8,1,0,0,0,2,1,1,6,1,0,0,1
532843,Dunice,55,38,38,4,0,0,1,0,0,1,10,0,0,0,0,0,5,0,0,0,0,3,3,0,5,6,0,0,0
529702,Heřmaničky,571,374,374,14,0,5,10,2,1,43,143,1,0,0,0,0,27,0,0,0,3,34,39,4,25,22,0,1,0
532932,Hradiště,24,19,19,2,0,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1
529737,Hulice,237,173,173,6,0,0,4,0,0,13,70,0,0,0,1,0,20,1,0,1,0,11,20,1,12,11,0,0,2
529745,Hvězdonice,257,189,189,0,0,1,12,0,0,31,49,0,1,0,0,0,23,0,0,0,4,13,14,1,32,6,0,1,1
532886,Chářovice,145,114,112,0,0,0,0,0,0,5,37,0,0,1,0,1,8,1,0,0,1,15,17,0,10,11,0,1,4
532878,Chleby,46,33,32,1,0,0,0,0,0,3,10,0,0,0,0,0,3,0,0,0,1,9,2,1,2,0,0,0,0
532045,Chlístov,278,177,176,3,0,2,7,1,0,5,62,0,0,0,0,0,29,0,0,0,0,18,5,5,32,5,0,0,2
529770,Chlum,112,87,87,6,0,0,0,1,0,6,51,0,0,0,0,0,5,0,0,0,0,5,6,0,4,3,0,0,0
529788,Chmelná,112,95,95,33,0,0,4,0,0,5,23,0,0,0,0,0,4,0,0,1,1,4,0,1,11,8,0,0,0
529796,Chocerady,991,663,659,12,0,8,46,0,0,53,171,0,0,0,0,2,74,1,1,2,4,42,51,9,119,50,1,1,12
532606,Choratice,58,34,34,6,0,0,3,0,0,2,10,0,0,0,0,0,5,0,0,0,1,4,1,0,0,2,0,0,0
529818,Chotýšany,434,294,292,7,0,1,5,2,0,33,91,1,1,0,0,0,27,0,0,1,5,31,16,1,35,29,0,0,6
532037,Chrášťany,187,123,123,9,0,0,4,0,0,3,40,0,1,0,0,0,20,0,0,0,1,9,14,1,20,1,0,0,0
529842,Jankov,748,430,429,20,1,1,24,1,0,35,145,0,0,0,2,0,23,3,0,2,2,51,34,3,49,28,0,0,5
529851,Javorník,104,79,79,6,0,2,0,0,0,13,20,0,0,0,0,0,3,0,0,0,1,7,5,2,9,11,0,0,0
532134,Ješetice,106,67,67,5,0,0,1,0,0,15,19,1,0,0,0,0,2,0,0,0,0,6,6,0,7,4,0,0,1
531031,Kamberk,121,82,81,1,0,2,6,0,0,8,28,0,0,0,0,0,17,0,0,0,0,2,1,0,9,5,0,0,2
529907,Keblov,155,99,99,3,0,2,2,0,0,11,34,0,0,0,0,0,10,1,0,0,1,8,10,0,6,10,0,0,1
533084,Kladruby,245,182,182,19,0,2,11,0,0,16,47,0,0,0,1,0,14,1,0,0,1,15,17,1,24,9,0,0,4
529931,Kondrac,383,269,267,19,0,0,5,0,0,22,66,0,0,0,0,1,28,0,0,0,6,29,24,1,28,35,0,2,1
529940,Kozmice,241,171,170,5,0,0,11,1,0,11,60,0,0,0,1,0,21,1,0,0,5,6,13,2,19,12,0,0,2
529958,Krhanice,765,505,502,19,0,1,31,4,1,43,139,0,0,0,0,1,70,0,0,1,3,58,27,7,68,20,1,1,7
529974,Krňany,361,242,241,1,0,4,19,1,0,27,69,0,0,0,1,1,38,2,0,0,0,12,20,2,27,10,0,1,6
529991,Křečovice,632,451,448,37,0,2,28,2,0,24,141,0,1,0,0,0,30,1,1,1,5,47,40,8,55,24,1,0,0
530000,Křivsoudov,351,222,222,18,0,0,5,0,0,16,66,0,0,0,1,3,17,1,0,0,1,19,11,4,41,16,0,0,3
530026,Kuňovice,66,61,61,7,0,0,2,0,0,3,28,0,0,0,0,0,5,0,0,1,0,6,3,0,3,3,0,0,0
530051,Lešany,567,371,370,16,0,4,13,1,0,44,105,0,2,0,3,1,37,0,0,1,1,31,39,6,40,13,0,0,13
530069,Libež,156,107,107,8,0,1,0,0,0,15,42,0,0,0,0,0,5,0,0,1,0,3,15,0,3,10,0,2,2
532258,Litichovice,54,39,39,6,0,0,3,0,0,4,10,0,0,0,0,1,2,1,0,0,0,4,4,1,3,0,0,0,0
530093,Loket,456,351,350,45,0,1,19,1,0,39,88,0,0,0,0,0,24,0,0,0,4,16,28,2,46,31,0,0,6
530107,Louňovice pod Blaníkem,563,369,365,20,0,1,14,0,0,23,138,0,0,0,0,0,43,1,0,0,1,25,25,4,35,32,1,2,0
532193,Lštění,331,225,226,8,0,1,28,0,0,16,43,1,0,0,1,1,32,0,0,0,1,24,20,2,30,11,1,0,6
530115,Maršovice,602,421,419,24,0,3,23,2,0,36,131,0,0,0,0,0,26,1,0,0,2,35,43,11,55,23,0,0,4
530158,Mezno,297,203,201,9,0,3,3,1,0,14,57,0,0,0,1,0,20,0,0,2,1,19,24,0,18,18,0,0,11
530166,Miličín,728,449,449,21,0,1,23,0,1,35,176,2,0,0,0,1,33,1,0,0,6,44,28,6,40,27,1,0,3
530174,Miřetice,149,102,100,7,0,2,4,0,0,15,34,0,0,0,0,0,18,0,0,1,0,8,0,0,9,2,0,0,0
530191,Mnichovice,184,114,114,11,0,0,0,0,0,6,43,0,2,0,0,0,8,0,0,0,1,5,16,3,10,9,0,0,0
530204,Mrač,637,429,429,8,0,5,14,1,0,32,140,1,0,1,0,0,47,0,0,1,4,56,34,12,47,19,0,0,7
530212,Načeradec,881,512,509,34,1,2,14,3,0,43,182,0,1,0,0,1,42,1,0,2,1,42,52,2,51,28,0,1,6
530263,Nespeky,545,389,388,8,0,1,34,1,0,20,116,1,0,0,0,0,65,0,0,0,1,26,19,6,63,24,0,0,3
530298,Netvořice,899,574,573,8,0,0,23,4,0,53,189,2,1,1,1,0,64,1,0,0,1,46,60,6,60,42,0,1,10
530301,Neustupov,423,264,263,9,0,2,11,0,0,31,98,0,0,0,0,0,5,0,0,1,4,24,21,3,15,26,2,0,11
530310,Neveklov,2080,1237,1218,39,1,1,83,6,1,106,376,2,3,1,1,3,153,4,0,2,8,76,82,21,147,81,1,2,18
530344,Olbramovice,991,664,660,20,0,7,28,1,0,43,285,0,0,1,3,0,44,0,1,2,3,57,61,9,49,41,4,0,1
599395,Ostrov,52,32,30,1,0,1,0,0,0,3,10,0,0,0,0,1,2,0,0,0,0,3,4,0,5,0,0,0,0
530352,Ostředek,292,206,205,12,0,0,12,0,0,9,75,1,1,0,0,0,18,0,0,0,8,18,6,2,25,15,0,0,3
533076,Pavlovice,168,121,119,10,0,0,4,0,0,13,37,0,0,0,0,0,4,1,0,0,4,6,15,2,6,13,0,2,2
530409,Petroupim,243,161,161,2,0,1,5,0,0,6,61,0,1,0,0,0,21,3,0,0,2,22,6,3,13,13,0,2,0
532649,Popovice,233,157,155,5,0,0,3,0,0,19,51,1,0,0,0,0,13,0,0,0,1,10,18,2,16,15,0,0,1
530441,Poříčí nad Sázavou,987,670,669,20,0,2,54,0,0,69,211,1,0,2,3,0,102,0,0,2,3,63,24,7,51,46,0,0,9
530450,Postupice,1030,662,653,20,2,10,17,2,0,41,255,2,0,0,3,0,68,0,0,1,3,70,42,7,76,30,0,0,4
530476,Pravonín,447,290,289,11,0,6,6,0,0,34,95,0,0,0,0,0,26,0,0,0,0,22,30,2,29,19,0,0,9
530492,Přestavlky u Čerčan,296,222,221,7,0,0,15,1,0,10,82,0,0,0,1,0,39,0,0,0,4,10,10,2,24,13,1,1,1
530514,Psáře,113,69,69,6,0,0,3,0,0,8,13,0,0,0,0,0,10,0,0,1,0,7,7,1,7,5,0,0,1
538680,Pyšely,1399,1014,1008,27,0,7,73,0,0,70,223,3,1,0,2,3,175,0,1,0,7,135,40,16,146,60,1,0,18
530522,Rabyně,235,168,168,8,0,0,9,0,0,15,41,0,0,0,3,0,38,0,0,0,2,11,11,0,19,9,0,1,1
530531,Radošovice,296,184,183,33,0,1,10,0,0,11,38,0,0,0,0,0,19,0,0,1,2,20,16,0,16,8,1,1,6
530549,Rataje,140,104,104,12,0,0,3,0,0,12,28,0,0,0,0,0,8,0,0,0,2,10,11,2,6,10,0,0,0
532550,Ratměřice,238,156,155,4,1,1,12,3,0,10,41,0,0,0,0,0,18,0,0,0,0,35,10,2,10,7,0,0,1
538710,Řehenice,366,252,252,4,0,1,20,0,0,17,69,1,0,0,0,0,34,0,0,0,4,26,8,2,48,15,1,0,2
532941,Řimovice,180,108,108,9,0,0,6,0,0,15,27,0,0,0,0,0,7,0,0,0,1,8,10,1,18,5,0,0,1
534382,Sázava,3090,1877,1867,37,2,7,78,5,0,182,515,5,3,1,5,4,216,4,2,9,7,193,155,27,180,203,0,5,22
532231,Slověnice,31,22,22,2,0,0,0,0,0,4,8,0,0,0,0,0,3,0,0,0,0,0,3,0,1,1,0,0,0
530611,Smilkov,231,146,144,10,0,0,1,0,0,12,62,0,0,0,0,0,3,0,0,0,1,14,17,1,8,15,0,0,0
532436,Snět,89,64,64,8,0,0,1,0,0,6,21,0,0,0,0,0,11,0,0,0,0,2,1,0,11,3,0,0,0
530638,Soběhrdy,319,227,225,9,0,2,14,1,0,16,74,0,2,0,0,0,23,0,0,1,1,24,12,2,25,17,0,0,2
599387,Soutice,219,146,146,4,0,0,2,0,0,14,70,0,0,0,0,0,6,0,0,3,1,11,8,1,8,14,0,0,4
599379,Stranný,82,51,51,0,0,1,5,0,0,3,13,0,0,0,1,0,6,0,0,0,0,5,6,0,4,7,0,0,0
599361,Strojetice,103,77,76,3,0,1,4,0,0,6,23,0,0,0,0,0,1,1,0,0,2,7,10,1,8,8,0,0,1
530689,Struhařov,670,461,459,10,0,2,15,1,0,31,180,1,0,0,3,1,59,0,2,0,2,32,35,7,48,24,0,1,5
530701,Střezimíř,263,174,174,7,0,0,1,0,1,18,76,0,0,0,0,0,12,0,0,0,2,17,12,1,16,5,0,0,6
530719,Studený,82,54,54,5,0,0,0,0,0,1,18,0,0,1,0,0,8,0,0,0,0,8,7,0,2,3,0,1,0
532509,Šetějovice,48,38,38,5,0,0,1,0,0,4,15,0,0,0,0,0,3,0,0,0,0,4,1,0,1,4,0,0,0
530751,Tehov,249,165,165,7,0,1,8,0,0,26,56,0,0,0,1,0,3,0,0,0,2,13,15,1,11,21,0,0,0
530760,Teplýšovice,383,289,288,24,0,3,4,0,0,17,96,1,0,0,0,0,22,1,0,0,2,41,17,6,26,25,0,0,3
530778,Tichonice,179,137,137,2,0,0,5,0,0,13,50,0,1,0,0,0,16,0,0,6,0,5,9,0,10,14,1,0,5
532592,Tisem,184,128,128,3,0,0,6,0,0,19,42,0,0,0,0,0,8,0,0,0,0,12,7,3,12,15,0,0,1
532541,Tomice,105,75,75,13,0,0,0,1,0,12,26,0,1,0,0,0,4,0,0,0,0,2,8,0,2,4,0,0,2
530816,Trhový Štěpánov,1029,642,634,45,0,6,25,2,0,66,217,0,0,0,0,0,62,2,1,1,7,48,40,5,59,42,0,0,6
532304,Třebešice,82,68,68,2,0,0,3,0,0,3,14,0,0,0,0,0,13,0,0,0,0,8,5,1,15,3,0,0,1
530841,Týnec nad Sázavou,4550,2940,2922,55,4,9,104,20,0,272,999,5,0,1,12,5,295,8,0,4,33,272,265,33,307,175,3,5,36
532061,Václavice,455,290,289,10,0,4,5,2,0,21,85,1,0,0,3,0,30,1,0,1,1,41,12,0,32,27,0,0,13
530867,Veliš,270,189,189,23,0,0,8,0,0,25,71,0,0,0,0,1,9,1,0,2,2,16,15,0,6,9,0,0,1
530883,Vlašim,9453,5677,5644,309,2,30,216,8,3,610,1862,2,2,2,12,2,504,7,8,12,32,368,465,57,525,534,2,9,61
532614,Vodslivy,84,43,43,5,0,0,2,1,0,8,10,0,1,0,0,0,5,0,0,0,1,1,0,0,4,3,0,0,2
530891,Vojkov,427,250,249,14,1,3,7,0,2,16,90,0,0,1,0,0,21,0,1,0,1,15,23,2,27,23,0,1,1
530905,Votice,3676,2229,2219,74,1,10,90,3,1,187,779,0,7,0,4,2,208,4,0,4,15,182,167,15,231,196,1,4,34
530913,Vracovice,326,201,199,22,0,0,10,0,0,12,67,0,0,3,0,0,14,0,0,1,3,15,9,0,22,14,0,1,6
530921,Vranov,332,244,244,14,0,0,14,0,0,11,80,1,1,1,0,1,29,0,0,0,1,26,21,2,28,11,0,0,3
530948,Vrchotovy Janovice,785,492,488,12,0,3,19,1,0,52,174,0,1,0,1,1,24,2,0,1,6,49,38,7,54,39,0,1,3
532266,Všechlapy,84,65,64,1,0,0,7,0,0,6,11,0,0,0,0,0,17,0,0,0,0,6,5,0,7,4,0,0,0
513482,Vysoký Újezd,163,113,113,2,0,8,8,1,0,4,30,0,1,0,0,0,20,0,0,0,5,1,12,3,3,11,0,0,4
571415,Xaverov,49,36,36,4,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,10,4,0,5,6,0,0,0
531022,Zdislavice,462,320,318,24,0,6,10,1,0,22,120,0,0,0,0,0,18,0,0,0,1,25,34,2,24,23,0,1,7
531049,Zvěstov,303,178,178,10,0,1,6,0,0,15,65,0,0,0,1,0,20,0,0,0,2,21,6,1,10,16,0,0,4
